"","unique.as.character.dt.train.Breed1.dt.train.AnimalType.....Dog...."
"1","Affenpinscher Mix"
"2","Afghan Hound Mix"
"3","Airedale Terrier"
"4","Airedale Terrier Mix"
"5","Akita"
"6","Akita Mix"
"7","Alaskan Husky"
"8","Alaskan Husky Mix"
"9","Alaskan Malamute"
"10","Alaskan Malamute Mix"
"11","American Bulldog"
"12","American Bulldog Mix"
"13","American Eskimo"
"14","American Eskimo Mix"
"15","American Foxhound"
"16","American Foxhound Mix"
"17","American Pit Bull Terrier"
"18","American Pit Bull Terrier Mix"
"19","American Staffordshire Terrier"
"20","American Staffordshire Terrier Mix"
"21","Anatol Shepherd"
"22","Anatol Shepherd Mix"
"23","Australian Cattle Dog"
"24","Australian Cattle Dog Mix"
"25","Australian Kelpie"
"26","Australian Kelpie Mix"
"27","Australian Shepherd"
"28","Australian Shepherd Mix"
"29","Australian Terrier Mix"
"30","Basenji"
"31","Basenji Mix"
"32","Basset Hound"
"33","Basset Hound Mix"
"34","Beagle"
"35","Beagle Mix"
"36","Bearded Collie Mix"
"37","Beauceron"
"38","Beauceron Mix"
"39","Bedlington Terr Mix"
"40","Belgian Malinois"
"41","Belgian Malinois Mix"
"42","Belgian Sheepdog"
"43","Belgian Sheepdog Mix"
"44","Belgian Tervuren"
"45","Belgian Tervuren Mix"
"46","Bernese Mountain Dog"
"47","Bernese Mountain Dog Mix"
"48","Bichon Frise"
"49","Bichon Frise Mix"
"50","Black Mouth Cur"
"51","Black Mouth Cur Mix"
"52","Black"
"53","Bloodhound"
"54","Bloodhound Mix"
"55","Blue Lacy"
"56","Blue Lacy Mix"
"57","Bluetick Hound"
"58","Bluetick Hound Mix"
"59","Boerboel"
"60","Boerboel Mix"
"61","Border Collie"
"62","Border Collie Mix"
"63","Border Terrier"
"64","Border Terrier Mix"
"65","Boston Terrier"
"66","Boston Terrier Mix"
"67","Boxer"
"68","Boxer Mix"
"69","Boykin Span"
"70","Boykin Span Mix"
"71","Brittany"
"72","Brittany Mix"
"73","Bruss Griffon"
"74","Bruss Griffon Mix"
"75","Bulldog"
"76","Bulldog Mix"
"77","Bullmastiff"
"78","Bullmastiff Mix"
"79","Bull Terrier"
"80","Bull Terrier Miniature"
"81","Bull Terrier Miniature Mix"
"82","Bull Terrier Mix"
"83","Cairn Terrier"
"84","Cairn Terrier Mix"
"85","Canaan Dog Mix"
"86","Canaan Dog"
"87","Cane Corso"
"88","Cane Corso Mix"
"89","Cardigan Welsh Corgi"
"90","Cardigan Welsh Corgi Mix"
"91","Carolina Dog"
"92","Carolina Dog Mix"
"93","Catahoula"
"94","Catahoula Mix"
"95","Cavalier Span"
"96","Cavalier Span Mix"
"97","Chesa Bay Retr"
"98","Chesa Bay Retr Mix"
"99","Chihuahua Longhair"
"100","Chihuahua Longhair Mix"
"101","Chihuahua Shorthair"
"102","Chihuahua Shorthair Mix"
"103","Chinese Crested"
"104","Chinese Crested Mix"
"105","Chinese Sharpei"
"106","Chinese Sharpei Mix"
"107","Chow Chow"
"108","Chow Chow Mix"
"109","Cocker Spaniel"
"110","Cocker Spaniel Mix"
"111","Collie Rough"
"112","Collie Rough Mix"
"113","Collie Smooth"
"114","Collie Smooth Mix"
"115","Dachshund"
"116","Dachshund Longhair"
"117","Dachshund Longhair Mix"
"118","Dachshund Mix"
"119","Dachshund Wirehair"
"120","Dachshund Wirehair Mix"
"121","Dalmatian"
"122","Dalmatian Mix"
"123","Doberman Pinsch"
"124","Doberman Pinsch Mix"
"125","Dogo Argentino"
"126","Dogo Argentino Mix"
"127","Dogue De Bordeaux"
"128","Dogue De Bordeaux Mix"
"129","Dutch Shepherd"
"130","Dutch Shepherd Mix"
"131","English Bulldog"
"132","English Bulldog Mix"
"133","English Cocker Spaniel Mix"
"134","English Coonhound"
"135","English Coonhound Mix"
"136","English Foxhound"
"137","English Foxhound Mix"
"138","English Pointer"
"139","English Pointer Mix"
"140","English Setter Mix"
"141","English Shepherd"
"142","English Shepherd Mix"
"143","English Springer Spaniel"
"144","English Springer Spaniel Mix"
"145","Entlebucher Mix"
"146","Feist Mix"
"147","Field Spaniel Mix"
"148","Finnish Spitz"
"149","Finnish Spitz Mix"
"150","Flat Coat Retriever"
"151","Flat Coat Retriever Mix"
"152","French Bulldog"
"153","French Bulldog Mix"
"154","German Pinscher Mix"
"155","German Pinscher"
"156","German Shepherd"
"157","German Shepherd Mix"
"158","German Shorthair Pointer"
"159","German Shorthair Pointer Mix"
"160","German Wirehaired Pointer"
"161","German Wirehaired Pointer Mix"
"162","Glen Of Imaal"
